Age,Gender,Location_Type,Income_Level,Awareness_of_Mental_Health,Stigma_Level,Perception_of_Therapy,Need_for_Services,Common_Issue,Service_Type,Average_Cost_Per_Session,Affordability_Perception,Platform_Used,User_Satisfaction_Rating,Corporate_Wellness_Program,Government_Initiative_Awareness,NGO_Initiative_Participation,Projected_Market_Growth
18,Female,Urban,Middle,1,Moderate,Positive,1,Stress,Online,500,Affordable,YourDost,2,0,0,0,7.911718836
34,Female,Urban,Low,1,Moderate,Positive,0,Stress,In-Person,1000,Affordable,Wysa,4,0,1,0,5.808015093
31,Female,Semi-Urban,Middle,0,Low,Positive,1,Other,Online,2000,Affordable,No Platform Used,3,0,0,0,4.416153274
53,Male,Rural,Middle,1,Low,Positive,0,Stress,In-Person,500,Affordable,BetterHelp,4,0,0,0,6.464662393
56,Male,Urban,High,0,Low,Negative,0,Stress,Online,1000,Expensive,Talkspace,4,0,0,1,8.534291022
58,Female,Semi-Urban,Middle,0,High,Positive,1,Stress,Online,500,Affordable,YourDost,4,0,1,0,6.370971331
44,Other,Rural,Middle,0,Low,Positive,1,Depression,In-Person,500,Affordable,No Platform Used,3,0,0,0,6.706480393
33,Male,Rural,Middle,0,Moderate,Positive,0,Stress,Online,500,Affordable,YourDost,2,1,1,0,7.000027288
40,Female,Urban,Low,1,High,Positive,1,Anxiety,In-Person,500,Affordable,No Platform Used,5,0,1,0,10.00031815
21,Other,Urban,Middle,1,Low,Neutral,1,Stress,Online,2000,Affordable,BetterHelp,5,0,1,1,4.572014063
41,Female,Rural,Low,1,High,Positive,1,Stress,Online,1000,Expensive,Talkspace,1,0,0,0,7.89868608
48,Male,Urban,High,1,Moderate,Neutral,0,Depression,Online,1500,Affordable,Wysa,2,0,1,0,11.71884784
57,Male,Urban,Low,0,High,Negative,0,Other,Online,1000,Affordable,YourDost,5,0,1,0,10.67500951
29,Male,Semi-Urban,Low,1,Low,Positive,0,Stress,Online,1500,Affordable,Talkspace,3,0,0,0,7.351140077
61,Male,Rural,Low,1,High,Neutral,1,Anxiety,Online,1500,Affordable,BetterHelp,4,1,1,1,5.857761913
58,Female,Urban,Low,1,Low,Positive,1,Stress,In-Person,500,Affordable,Wysa,2,0,1,0,8.392074614
27,Male,Urban,Middle,1,High,Neutral,1,Stress,Online,750,Affordable,No Platform Used,1,1,0,0,8.264544418
28,Female,Semi-Urban,Low,0,High,Positive,1,Depression,In-Person,750,Expensive,No Platform Used,5,0,0,0,8.461268978
27,Male,Semi-Urban,Low,0,Moderate,Positive,1,Stress,In-Person,1000,Affordable,YourDost,4,0,1,1,5.232657393
64,Female,Rural,Low,0,Moderate,Positive,0,Anxiety,In-Person,2000,Affordable,BetterHelp,5,0,1,1,7.994062165
36,Male,Rural,Middle,1,Low,Positive,1,Anxiety,In-Person,750,Expensive,BetterHelp,4,1,0,1,5.870468258
36,Male,Semi-Urban,Low,1,High,Neutral,0,Other,Online,750,Affordable,No Platform Used,5,1,0,0,5.210705528
51,Female,Rural,Middle,1,Moderate,Neutral,1,Stress,Online,2000,Expensive,Wysa,3,0,0,1,10.18488634
35,Female,Semi-Urban,Middle,1,Moderate,Neutral,0,Other,In-Person,750,Expensive,No Platform Used,1,0,0,0,6.642742955
46,Male,Urban,Low,1,Moderate,Positive,1,Depression,In-Person,750,Expensive,YourDost,3,0,0,0,4.69198371
58,Male,Semi-Urban,Middle,0,Moderate,Negative,1,Depression,In-Person,1000,Affordable,No Platform Used,4,0,0,0,5.984526375
41,Female,Semi-Urban,Middle,1,Moderate,Neutral,0,Stress,Online,2000,Expensive,BetterHelp,4,0,1,0,8.912850604
47,Female,Semi-Urban,Middle,1,Low,Neutral,0,Stress,In-Person,1000,Expensive,Talkspace,5,0,0,0,6.841946714
42,Male,Urban,Middle,0,High,Positive,0,Other,Online,750,Expensive,No Platform Used,2,0,1,0,7.462941989
45,Male,Urban,Middle,1,Moderate,Neutral,1,Stress,Online,750,Affordable,Wysa,2,1,1,0,6.695794844
63,Female,Semi-Urban,Middle,0,Moderate,Positive,1,Anxiety,In-Person,750,Affordable,Wysa,1,1,1,0,5.571561859
29,Female,Urban,High,1,High,Positive,0,Stress,In-Person,500,Expensive,BetterHelp,2,0,0,0,6.124892598
44,Female,Urban,Low,1,High,Neutral,1,Stress,Online,750,Expensive,No Platform Used,4,0,0,0,9.091513994
35,Male,Rural,Middle,1,High,Positive,0,Stress,Online,1500,Expensive,BetterHelp,2,1,1,1,6.488496217
33,Male,Urban,Middle,0,High,Neutral,1,Anxiety,In-Person,750,Expensive,YourDost,3,1,1,0,4.991085187
28,Female,Rural,Middle,0,Moderate,Neutral,1,Anxiety,In-Person,2000,Affordable,YourDost,2,0,0,0,4.347042473
28,Female,Urban,Middle,1,Low,Neutral,1,Depression,Online,1500,Expensive,No Platform Used,5,1,0,0,10.20598364
20,Female,Urban,Middle,0,Moderate,Neutral,1,Anxiety,Online,1500,Expensive,No Platform Used,2,0,0,0,4.930418757
41,Female,Urban,Middle,1,Moderate,Positive,0,Depression,Online,1000,Affordable,Talkspace,5,0,0,0,12.1582764
52,Male,Semi-Urban,Middle,1,High,Positive,0,Depression,In-Person,2000,Affordable,Talkspace,3,0,1,0,5.934712667
50,Male,Urban,Low,0,Moderate,Positive,1,Other,In-Person,750,Expensive,No Platform Used,1,0,1,1,6.382627833
61,Female,Semi-Urban,Low,1,Moderate,Neutral,0,Stress,Online,1000,Expensive,Talkspace,4,0,1,0,9.350614291
55,Other,Urban,Low,0,Moderate,Positive,1,Anxiety,Online,2000,Affordable,BetterHelp,3,0,0,1,6.520621218
58,Male,Urban,High,1,Moderate,Positive,0,Anxiety,In-Person,500,Expensive,Talkspace,5,1,0,0,8.522998918
53,Male,Rural,Low,1,Moderate,Positive,1,Stress,Online,500,Affordable,Wysa,3,1,1,0,7.731964244
46,Female,Semi-Urban,High,1,High,Neutral,0,Depression,In-Person,500,Affordable,No Platform Used,5,0,0,1,5.558894259
30,Female,Urban,Middle,1,Moderate,Neutral,1,Anxiety,Online,1500,Expensive,No Platform Used,5,0,0,0,3.830019316
50,Female,Urban,Middle,1,High,Positive,0,Anxiety,In-Person,2000,Affordable,Wysa,4,0,0,1,7.78441113
62,Male,Rural,Middle,1,Moderate,Positive,1,Stress,In-Person,500,Expensive,No Platform Used,5,0,1,0,9.400851099
54,Male,Urban,Middle,1,Moderate,Positive,1,Stress,Online,2000,Expensive,No Platform Used,3,1,0,0,7.39867533
49,Female,Rural,Middle,1,Moderate,Positive,0,Stress,Online,2000,Affordable,BetterHelp,3,0,1,0,8.826050547
43,Female,Urban,Middle,1,Low,Neutral,0,Anxiety,In-Person,500,Affordable,Wysa,2,0,1,0,2.994479158
47,Male,Urban,Low,1,Moderate,Neutral,1,Other,Online,1000,Affordable,BetterHelp,1,0,1,1,8.185087088
18,Female,Urban,Middle,1,Moderate,Positive,1,Depression,Online,500,Affordable,No Platform Used,3,0,1,0,7.384983736
57,Male,Semi-Urban,Low,0,Moderate,Neutral,1,Other,In-Person,2000,Expensive,YourDost,2,0,0,0,5.516649369
29,Male,Rural,Low,0,Moderate,Positive,0,Stress,In-Person,500,Expensive,Wysa,1,1,1,1,8.604178943
34,Male,Rural,Low,1,High,Neutral,0,Depression,In-Person,1500,Expensive,No Platform Used,5,0,1,0,7.614012111
55,Male,Rural,High,1,High,Neutral,0,Stress,Online,500,Expensive,Wysa,3,1,1,1,6.409807644
52,Female,Urban,Middle,1,High,Neutral,1,Depression,Online,1000,Affordable,YourDost,2,0,0,0,4.020673993
18,Female,Urban,Low,1,High,Positive,0,Depression,Online,500,Expensive,Talkspace,5,0,1,0,7.63691102
19,Female,Semi-Urban,Low,1,High,Neutral,1,Depression,Online,750,Affordable,Wysa,5,0,0,0,4.966124083
